,January,February,District,Year,Oct_District,October,Oct_Year,November,December
240,0.0729443,0.0712743,JAISALMER,2001,JAISALMER,0.1057468,2001,0.0937233,0.0901568
241,0.0882645,0.0836451,JAISALMER,2002,JAISALMER,0.0643858,2002,0.0624096,0.0611478
242,0.0613074,0.0587844,JAISALMER,2003,JAISALMER,0.1245258,2003,0.1086507,0.1049227
243,0.1020667,0.0967704,JAISALMER,2004,JAISALMER,0.0749543,2004,0.074315,0.070094
244,0.0669767,0.0666729,JAISALMER,2005,JAISALMER,0.0904771,2005,0.0766701,0.0729271
245,0.0715688,0.0735228,JAISALMER,2006,JAISALMER,0.1180163,2006,0.107874,0.0945734
246,0.0884043,0.0913119,JAISALMER,2007,JAISALMER,0.1086237,2007,0.0938903,0.0840436
247,0.0800964,0.0771529,JAISALMER,2008,JAISALMER,0.0936536,2008,0.0838151,0.0766405
248,0.0732571,0.0784669,JAISALMER,2009,JAISALMER,0.0735233,2009,0.0696818,0.0687636
249,0.0682998,0.0662495,JAISALMER,2010,JAISALMER,0.1622865,2010,0.1308868,0.1130693
250,0.0682998,0.0662495,JAISALMER,2010,JAISALMER,0.1622865,2010,0.1308868,0.1130693
251,0.0682998,0.0662495,JAISALMER,2010,JAISALMER,0.1622865,2010,0.1308868,0.1130693
252,0.0682998,0.0662495,JAISALMER,2010,JAISALMER,0.1622865,2010,0.1308868,0.1130693
253,0.1045454,0.1005183,JAISALMER,2011,JAISALMER,0.1735042,2011,0.1379608,0.1235902
254,0.1107843,0.1083522,JAISALMER,2012,JAISALMER,0.1470067,2012,0.1167341,0.1064208
255,0.099572,0.0936495,JAISALMER,2013,JAISALMER,0.1194116,2013,0.10287,0.0943597
256,0.0891755,0.0910955,JAISALMER,2014,JAISALMER,0.088583,2014,0.0776092,0.0769812
257,0.0780511,0.0797132,JAISALMER,2015,JAISALMER,0.1449306,2015,0.1204298,0.1059563
258,0.0996779,0.098719,JAISALMER,2016,JAISALMER,0.1239054,2016,0.1006728,0.0955104
259,0.0885847,0.0871699,JAISALMER,2017,JAISALMER,0.1140822,2017,0.0969587,0.090629
260,0.0873232,0.0909436,JAISALMER,2018,JAISALMER,0.08663,2018,0.0786421,0.0764637
261,0.0764145,0.0797872,JAISALMER,2019,JAISALMER,0.1185649,2019,0.0952194,0.0875057
262,0.1971694,0.1825881,JHALAWAR,2001,JHALAWAR,0.2033269,2001,0.1665129,0.1796753
263,0.2189102,0.2010666,JHALAWAR,2002,JHALAWAR,0.2097683,2002,0.1535279,0.1503205
264,0.1661797,0.1550098,JHALAWAR,2003,JHALAWAR,0.3111483,2003,0.1913193,0.1979848
265,0.2189136,0.2168144,JHALAWAR,2004,JHALAWAR,0.2445591,2004,0.1843446,0.2105084
266,0.2484669,0.2268807,JHALAWAR,2005,JHALAWAR,0.2683076,2005,0.1819788,0.197168
267,0.2186487,0.2041622,JHALAWAR,2006,JHALAWAR,0.2812315,2006,0.1919915,0.2291644
268,0.2709861,0.2363444,JHALAWAR,2007,JHALAWAR,0.2830876,2007,0.1823191,0.2078348
269,0.237241,0.2240931,JHALAWAR,2008,JHALAWAR,0.2375075,2008,0.1866679,0.220508
270,0.2570832,0.2265551,JHALAWAR,2009,JHALAWAR,0.27503,2009,0.2030898,0.2606154
271,0.29649,0.2372239,JHALAWAR,2010,JHALAWAR,0.2681164,2010,0.1823717,0.2144417
272,0.29649,0.2372239,JHALAWAR,2010,JHALAWAR,0.2681164,2010,0.1823717,0.2144417
273,0.29649,0.2372239,JHALAWAR,2010,JHALAWAR,0.2681164,2010,0.1823717,0.2144417
274,0.29649,0.2372239,JHALAWAR,2010,JHALAWAR,0.2681164,2010,0.1823717,0.2144417
275,0.2530782,0.2398036,JHALAWAR,2011,JHALAWAR,0.2433323,2011,0.1878567,0.2364645
276,0.3010005,0.2810605,JHALAWAR,2012,JHALAWAR,0.2901962,2012,0.2034667,0.2650448
277,0.3005913,0.2972505,JHALAWAR,2013,JHALAWAR,0.2603229,2013,0.1984699,0.2794622
278,0.3440235,0.3198774,JHALAWAR,2014,JHALAWAR,0.2565956,2014,0.1824617,0.227596
279,0.3026918,0.2899919,JHALAWAR,2015,JHALAWAR,0.2027224,2015,0.1827901,0.2412866
280,0.2844777,0.2665388,JHALAWAR,2016,JHALAWAR,0.2424205,2016,0.1818361,0.2524773
281,0.3181719,0.2956988,JHALAWAR,2017,JHALAWAR,0.2476911,2017,0.1991669,0.2737803
282,0.3021274,0.2709394,JHALAWAR,2018,JHALAWAR,0.2585836,2018,0.1965304,0.3140843
283,0.3468404,0.3447175,JHALAWAR,2019,JHALAWAR,0.2913619,2019,0.1864438,0.2945695
284,0.1131097,0.1109619,JODHPUR,2001,JODHPUR,0.1462081,2001,0.1267113,0.1213894
285,0.1202779,0.1168675,JODHPUR,2002,JODHPUR,0.0961603,2002,0.0911196,0.0909565
286,0.0942599,0.0930054,JODHPUR,2003,JODHPUR,0.1616521,2003,0.1358108,0.1314859
287,0.1283033,0.1258271,JODHPUR,2004,JODHPUR,0.1414212,2004,0.121112,0.1182039
288,0.1145736,0.1116473,JODHPUR,2005,JODHPUR,0.1510056,2005,0.1208598,0.116912
289,0.1150155,0.1126572,JODHPUR,2006,JODHPUR,0.1372898,2006,0.1189974,0.1173339
290,0.1152362,0.1104696,JODHPUR,2007,JODHPUR,0.1496272,2007,0.1230775,0.1176444
291,0.1173996,0.1166051,JODHPUR,2008,JODHPUR,0.1407312,2008,0.1211539,0.121947
292,0.1200942,0.1144248,JODHPUR,2009,JODHPUR,0.1151958,2009,0.1036149,0.1096506
293,0.1089462,0.1097695,JODHPUR,2010,JODHPUR,0.2192713,2010,0.1707386,0.1422024
294,0.1089462,0.1097695,JODHPUR,2010,JODHPUR,0.2192713,2010,0.1707386,0.1422024
295,0.1089462,0.1097695,JODHPUR,2010,JODHPUR,0.2192713,2010,0.1707386,0.1422024
